"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 07:18:08 IST 2023","Wed Apr 05 07:18:08 IST 2023","3","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:18:04 IST 2023","Wed Apr 05 07:18:05 IST 2023","1089","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:39:57 IST 2023","Wed Apr 05 07:40:06 IST 2023","8710","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:55:57 IST 2023","Wed Apr 05 07:55:57 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:55:39 IST 2023","Wed Apr 05 07:55:42 IST 2023","2296","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:46:21 IST 2023","Wed Apr 05 07:46:21 IST 2023","1","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:17:58 IST 2023","Wed Apr 05 07:18:00 IST 2023","2140","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:01:07 IST 2023","Wed Apr 05 07:01:18 IST 2023","11518","","Blog","","","","Open the blog tab and check the length of texts >10",""
"passed","Wed Apr 05 07:55:45 IST 2023","Wed Apr 05 07:55:45 IST 2023","2","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:18:06 IST 2023","Wed Apr 05 07:18:06 IST 2023","2","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:55:54 IST 2023","Wed Apr 05 07:55:54 IST 2023","2","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:01:30 IST 2023","Wed Apr 05 07:01:30 IST 2023","3","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:01:26 IST 2023","Wed Apr 05 07:01:26 IST 2023","3","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:37:12 IST 2023","Wed Apr 05 07:37:13 IST 2023","980","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:40:07 IST 2023","Wed Apr 05 07:40:09 IST 2023","2597","","Home","","","","Go To About and Asert Title",""
